Brand,Model,Year,Trim,Drive,Description,Exterior Color,Interior Color,Miles,Price
Chevrolet,Silverado 3500HD,2019,Big,4WD,"Horn/Lone Star Crew Cab 5'7"" Box ",White exterior,Black interior,,
Chevrolet,Silverado 3500HD,2020,XL,2WD,SuperCrew 5.5' Box ,Gray exterior,Unknown interior,,
Ford,Super Duty F-350,2018,XLT,SRW,4WD Crew Cab 6.75' Box ,White exterior,Gray interior,,
Ford,Super Duty F-350,2021,RST,4WD,Crew Cab Short Bed ,Black exterior,Black interior,,
Ford,Super Duty F-350,2017,Denali,4WD,Crew Cab Short Box ,White exterior,Black interior,,
Ford,Super Duty F-350,2013,XLT,4WD,SuperCrew 5.5' Box ,Black exterior,Gray interior,,
Ford,Super Duty F-350,2010,XL,4WD,SuperCrew 5.5' Box ,White exterior,Unknown interior,,
Ford,Super Duty F-350,2019,Raptor,4WD,SuperCrew 5.5' Box ,Black exterior,Black interior,,
Ford,Super Duty F-350,2018,LT,4WD,Double Cab Standard Box ,White exterior,Black interior,,
Ford,Super Duty F-350,2018,Limited,4WD,SuperCrew 5.5' Box ,White exterior,Unknown interior,,
Ford,Super Duty F-350,2016,XL,RWD,"Crew Cab 156"" ",White exterior,Gray interior,,
Ford,Super Duty F-350,2018,XL,4WD,SuperCrew 5.5' Box ,Unknown exterior,Unknown interior,,
Ford,Super Duty F-350,2014,Laramie,4WD,"Crew Cab 5'7"" Box ",Black exterior,Black interior,,
Ford,Super Duty F-350,2018,SV,Auto,V6 King Cab 4WD ,White exterior,Gray interior,,
Ford,Super Duty F-350,2019,Big,2WD,"Horn Crew Cab 6'4"" Box ",White exterior,Black interior,,
Ford,Super Duty F-350,2020,Lariat,4WD,SuperCrew 5.5' Box ,Black exterior,Black interior,,
Ford,Super Duty F-350,2018,XLT,4WD,SuperCrew 5.5' Box ,White exterior,Gray interior,,
Ford,Super Duty F-350,2016,XLT,4WD,SuperCrew 5.5' Box ,Silver exterior,Gray interior,,
Ford,Super Duty F-350,2018,S,Automatic,King Cab RWD ,White exterior,Gray interior,,
Ford,Super Duty F-350,2017,LT,4WD,Crew Cab Standard Box ,White exterior,Gray interior,,
Ford,Super Duty F-350,2018,XLT,4WD,SuperCrew 5.5' Box ,Black exterior,Black interior,,
Ford,Super Duty F-350,2018,SR,Automatic,Double Cab 5' Bed V6 4WD ,Silver exterior,Unknown interior,,
Ford,Super Duty F-350,2017,XLT,4WD,SuperCrew 5.5' Box ,Black exterior,Gray interior,,
Ford,Super Duty F-350,2020,Rebel,4WD,"Crew Cab 5'7"" Box ",Gray exterior,Black interior,,
Ford,Super Duty F-350,2019,Z71,4WD,Crew Cab Short Box ,Blue exterior,Black interior,,
Ford,Super Duty F-350,2018,XL,2WD,Regular Cab 6.5' Box ,White exterior,Gray interior,,
Ford,Super Duty F-350,2014,WT,2WD,with 1WT Regular Cab Long Box ,White exterior,Black interior,,
Ford,Super Duty F-350,2018,XLT,4WD,SuperCrew 5.5' Box ,White exterior,Gray interior,,
Ford,Super Duty F-350,2018,XL,4WD,SuperCab 6.5' Box ,White exterior,Gray interior,,
Ford,Super Duty F-350,2017,Night,4WD,"Crew Cab 5'7"" Box ",Red exterior,Black interior,,
Ford,Super Duty F-350,2008,XL,RWD,"Regular Cab 137"" ",White exterior,Beige interior,,
Ford,Super Duty F-350,2012,SLE,4WD,Crew Cab SB ,White exterior,Black interior,,
Ford,Super Duty F-350,2015,LT,4WD,with 1LT Crew Cab Short Box ,Blue exterior,Black interior,,
Ford,Super Duty F-350,2019,Big,4WD,"Horn/Lone Star Crew Cab 5'7"" Box ",White exterior,Black interior,,
Ford,Super Duty F-350,2020,XL,2WD,SuperCrew 5.5' Box ,Gray exterior,Unknown interior,,
Chevrolet,Silverado 1500,2017,LTZ,4WD,Crew Cab Short Box ,Red exterior,Black interior,,
Chevrolet,Silverado 1500,2021,Big,4WD,"Horn Crew Cab 5'7"" Box ",Gray exterior,Black interior,,
Chevrolet,Silverado 1500,2016,Denali,4WD,Crew Cab Short Box ,Black exterior,Black interior,,
Chevrolet,Silverado 1500,2013,XLT,4WD,SuperCrew 5.5' Box ,Black exterior,Gray interior,,
Chevrolet,Silverado 1500,2010,XL,4WD,SuperCrew 5.5' Box ,White exterior,Unknown interior,,
Chevrolet,Silverado 1500,2019,Raptor,4WD,SuperCrew 5.5' Box ,Black exterior,Black interior,,
Chevrolet,Silverado 1500,2018,LT,4WD,Double Cab Standard Box ,White exterior,Black interior,,
Chevrolet,Silverado 1500,2018,Limited,4WD,SuperCrew 5.5' Box ,White exterior,Unknown interior,,
Chevrolet,Silverado 1500,2016,XL,RWD,"Crew Cab 156"" ",White exterior,Gray interior,,
Chevrolet,Silverado 1500,2018,XL,4WD,SuperCrew 5.5' Box ,Unknown exterior,Unknown interior,,
Chevrolet,Silverado 1500,2014,Laramie,4WD,"Crew Cab 5'7"" Box ",Black exterior,Black interior,,
Chevrolet,Silverado 1500,2018,SV,Auto,V6 King Cab 4WD ,White exterior,Gray interior,,
Chevrolet,Silverado 1500,2019,Big,2WD,"Horn Crew Cab 6'4"" Box ",White exterior,Black interior,,
Chevrolet,Silverado 1500,2020,Lariat,4WD,SuperCrew 5.5' Box ,Black exterior,Black interior,,
Chevrolet,Silverado 1500,2018,XLT,4WD,SuperCrew 5.5' Box ,White exterior,Gray interior,,
Chevrolet,Silverado 1500,2016,XLT,4WD,SuperCrew 5.5' Box ,Silver exterior,Gray interior,,
Chevrolet,Silverado 1500,2018,S,Automatic,King Cab RWD ,White exterior,Gray interior,,
Chevrolet,Silverado 1500,2017,LT,4WD,Crew Cab Standard Box ,White exterior,Gray interior,,
Chevrolet,Silverado 1500,2018,XLT,4WD,SuperCrew 5.5' Box ,Black exterior,Black interior,,
Chevrolet,Silverado 1500,2018,SR,Automatic,Double Cab 5' Bed V6 4WD ,Silver exterior,Unknown interior,,
Chevrolet,Silverado 1500,2017,XLT,4WD,SuperCrew 5.5' Box ,Black exterior,Gray interior,,
Chevrolet,Silverado 1500,2020,Rebel,4WD,"Crew Cab 5'7"" Box ",Gray exterior,Black interior,,
Chevrolet,Silverado 1500,2019,Z71,4WD,Crew Cab Short Box ,Blue exterior,Black interior,,
Chevrolet,Silverado 1500,2018,XL,2WD,Regular Cab 6.5' Box ,White exterior,Gray interior,,
Chevrolet,Silverado 1500,2014,WT,2WD,with 1WT Regular Cab Long Box ,White exterior,Black interior,,
Chevrolet,Silverado 1500,2018,XLT,4WD,SuperCrew 5.5' Box ,White exterior,Gray interior,,
Chevrolet,Silverado 1500,2018,XL,4WD,SuperCab 6.5' Box ,White exterior,Gray interior,,
Chevrolet,Silverado 1500,2017,Night,4WD,"Crew Cab 5'7"" Box ",Red exterior,Black interior,,
Chevrolet,Silverado 1500,2008,XL,RWD,"Regular Cab 137"" ",White exterior,Beige interior,,
Chevrolet,Silverado 1500,2012,SLE,4WD,Crew Cab SB ,White exterior,Black interior,,
Chevrolet,Silverado 1500,2015,LT,4WD,with 1LT Crew Cab Short Box ,Blue exterior,Black interior,,
Chevrolet,Silverado 1500,2019,Big,4WD,"Horn/Lone Star Crew Cab 5'7"" Box ",White exterior,Black interior,,
Chevrolet,Silverado 1500,2020,XL,2WD,SuperCrew 5.5' Box ,Gray exterior,Unknown interior,,
Ram,1500,2019,Big,4WD,"Horn/Lone Star Crew Cab 5'7"" Box ",White exterior,Black interior,,
Ram,1500,2019,Custom,4WD,Trail Boss Crew Cab Short Box ,Black exterior,Black interior,,
Ram,1500,2015,Lariat,4WD,SuperCrew 5.5' Box ,Red exterior,Beige interior,,
Ram,1500,2013,XLT,4WD,SuperCrew 5.5' Box ,Black exterior,Gray interior,,
Ram,1500,2010,XL,4WD,SuperCrew 5.5' Box ,White exterior,Unknown interior,,
Ram,1500,2019,Raptor,4WD,SuperCrew 5.5' Box ,Black exterior,Black interior,,
Ram,1500,2018,LT,4WD,Double Cab Standard Box ,White exterior,Black interior,,
Ram,1500,2018,Limited,4WD,SuperCrew 5.5' Box ,White exterior,Unknown interior,,
Ram,1500,2016,XL,RWD,"Crew Cab 156"" ",White exterior,Gray interior,,
Ram,1500,2018,XL,4WD,SuperCrew 5.5' Box ,Unknown exterior,Unknown interior,,
Ram,1500,2014,Laramie,4WD,"Crew Cab 5'7"" Box ",Black exterior,Black interior,,
Ram,1500,2018,SV,Auto,V6 King Cab 4WD ,White exterior,Gray interior,,
Ram,1500,2019,Big,2WD,"Horn Crew Cab 6'4"" Box ",White exterior,Black interior,,
Ram,1500,2020,Lariat,4WD,SuperCrew 5.5' Box ,Black exterior,Black interior,,
Ram,1500,2018,XLT,4WD,SuperCrew 5.5' Box ,White exterior,Gray interior,,
Ram,1500,2016,XLT,4WD,SuperCrew 5.5' Box ,Silver exterior,Gray interior,,
Ram,1500,2018,S,Automatic,King Cab RWD ,White exterior,Gray interior,,
Ram,1500,2017,LT,4WD,Crew Cab Standard Box ,White exterior,Gray interior,,
Ram,1500,2018,XLT,4WD,SuperCrew 5.5' Box ,Black exterior,Black interior,,
Ram,1500,2018,SR,Automatic,Double Cab 5' Bed V6 4WD ,Silver exterior,Unknown interior,,
Ram,1500,2017,XLT,4WD,SuperCrew 5.5' Box ,Black exterior,Gray interior,,
Ram,1500,2020,Rebel,4WD,"Crew Cab 5'7"" Box ",Gray exterior,Black interior,,
Ram,1500,2019,Z71,4WD,Crew Cab Short Box ,Blue exterior,Black interior,,
Ram,1500,2018,XL,2WD,Regular Cab 6.5' Box ,White exterior,Gray interior,,
Ram,1500,2014,WT,2WD,with 1WT Regular Cab Long Box ,White exterior,Black interior,,
Ram,1500,2018,XLT,4WD,SuperCrew 5.5' Box ,White exterior,Gray interior,,
Ram,1500,2018,XL,4WD,SuperCab 6.5' Box ,White exterior,Gray interior,,
Ram,1500,2017,Night,4WD,"Crew Cab 5'7"" Box ",Red exterior,Black interior,,
